Sample	aligned_reads	dedup_reads	dedup_reads_percent	dup_reads	dup_reads_percent
A-1.1	267057872.0	146197318.0	54.74	120860554.0	45.26
B-1.1	272687552.0	131812181.0	48.34	140875371.0	51.66
C-1.1	273965242.0	139099875.0	50.77	134865367.0	49.23
D-1.1	276629284.0	149939596.0	54.2	126689688.0	45.8
E-1.1	277704619.0	161573472.0	58.18	116131147.0	41.82
F-1.1	274651521.0	155412208.0	56.59	119239313.0	43.41
G-1.1	109878863.0	75760202.0	68.95	34118661.0	31.05
H-1.1	111072638.0	76798027.0	69.14	34274611.0	30.86
I-1.1	110527165.0	80309925.0	72.66	30217240.0	27.34
