AA_count_genomic	AA_count_sample	AA_coverage	AA_percent_genomic	AA_percent_sample	AC_count_genomic	AC_count_sample	AC_coverage	AC_percent_genomic	AC_percent_sample	AG_count_genomic	AG_count_sample	AG_coverage	AG_percent_genomic	AG_percent_sample	AT_count_genomic	AT_count_sample	AT_coverage	AT_percent_genomic	AT_percent_sample	A_count_genomic	A_count_sample	A_coverage	A_percent_genomic	A_percent_sample	CA_count_genomic	CA_count_sample	CA_coverage	CA_percent_genomic	CA_percent_sample	CC_count_genomic	CC_count_sample	CC_coverage	CC_percent_genomic	CC_percent_sample	CG_count_genomic	CG_count_sample	CG_coverage	CG_percent_genomic	CG_percent_sample	CT_count_genomic	CT_count_sample	CT_coverage	CT_percent_genomic	CT_percent_sample	C_count_genomic	C_count_sample	C_coverage	C_percent_genomic	C_percent_sample	GA_count_genomic	GA_count_sample	GA_coverage	GA_percent_genomic	GA_percent_sample	GC_count_genomic	GC_count_sample	GC_coverage	GC_percent_genomic	GC_percent_sample	GG_count_genomic	GG_count_sample	GG_coverage	GG_percent_genomic	GG_percent_sample	GT_count_genomic	GT_count_sample	GT_coverage	GT_percent_genomic	GT_percent_sample	G_count_genomic	G_count_sample	G_coverage	G_percent_genomic	G_percent_sample	Sample	TA_count_genomic	TA_count_sample	TA_coverage	TA_percent_genomic	TA_percent_sample	TC_count_genomic	TC_count_sample	TC_coverage	TC_percent_genomic	TC_percent_sample	TG_count_genomic	TG_count_sample	TG_coverage	TG_percent_genomic	TG_percent_sample	TT_count_genomic	TT_count_sample	TT_coverage	TT_percent_genomic	TT_percent_sample	T_count_genomic	T_count_sample	T_coverage	T_percent_genomic	T_percent_sample
A_pe	3240332636	8.788	8.29	8.04	244294377	2056467726	8.418	5.50	5.10	276904652	2795930522	10.097	6.23	6.93	344848927	3032434240	8.794	7.76	7.52	1235120021	11175341275	9.048	27.78	27.52	308296740	2532891046	8.216	6.94	6.28	240688810	1862536486	7.738	5.41	4.62	162160755	1607977491	9.916	3.65	3.99	276935878	2270263958	8.198	6.23	5.63	988389879	8342509588	8.441	22.23	20.55	292602109	3051354513	10.428	6.58	7.57	210481053	1988961578	9.450	4.73	4.93	240686117	2515363467	10.451	5.41	6.24	244170162	2471269036	10.121	5.49	6.13	988232759	10097600076	10.218	22.22	24.87		265147590	2262129391	8.532	5.96	5.61	292632610	2370992181	8.102	6.58	5.88	308174758	3101134023	10.063	6.93	7.69	368594334	3165534359	8.588	8.29	7.85	1234891044	10989630522	8.899	27.77	27.06
B_pe	2903616043	7.875	8.29	7.99	244294377	1848577874	7.567	5.50	5.09	276904652	2534001284	9.151	6.23	6.98	344848927	2712145846	7.865	7.76	7.47	1235120021	10044091605	8.132	27.78	27.46	308296740	2266378688	7.351	6.94	6.24	240688810	1674647477	6.958	5.41	4.61	162160755	1472330587	9.079	3.65	4.05	276935878	2031454651	7.335	6.23	5.59	988389879	7506960977	7.595	22.23	20.52	292602109	2770762423	9.469	6.58	7.63	210481053	1802143177	8.562	4.73	4.96	240686117	2299039988	9.552	5.41	6.33	244170162	2235487689	9.155	5.49	6.15	988232759	9171864014	9.281	22.22	25.08		265147590	2024462936	7.635	5.96	5.57	292632610	2124363628	7.259	6.58	5.85	308174758	2796076216	9.073	6.93	7.70	368594334	2827275630	7.670	8.29	7.78	1234891044	9851983589	7.978	27.77	26.94
C_pe	3063234250	8.307	8.29	7.87	244294377	1980473799	8.107	5.50	5.09	276904652	2697258920	9.741	6.23	6.93	344848927	2894255856	8.393	7.76	7.44	1235120021	10682805375	8.649	27.78	27.27	308296740	2428879881	7.878	6.94	6.24	240688810	1811650839	7.527	5.41	4.66	162160755	1585956965	9.780	3.65	4.08	276935878	2193620404	7.921	6.23	5.64	988389879	8085413242	8.180	22.23	20.64	292602109	2950333364	10.083	6.58	7.58	210481053	1942648999	9.230	4.73	4.99	240686117	2464786862	10.241	5.41	6.33	244170162	2404836922	9.849	5.49	6.18	988232759	9830339719	9.947	22.22	25.09		265147590	2158008301	8.139	5.96	5.55	292632610	2290033053	7.826	6.58	5.89	308174758	3008489689	9.762	6.93	7.73	368594334	3033395858	8.230	8.29	7.80	1234891044	10574507947	8.563	27.77	26.99
D_pe	3224326210	8.744	8.29	7.79	244294377	2103581678	8.611	5.50	5.08	276904652	2874013406	10.379	6.23	6.94	344848927	3053167804	8.854	7.76	7.37	1235120021	11305694407	9.154	27.78	27.12	308296740	2576281221	8.356	6.94	6.22	240688810	1942538296	8.071	5.41	4.69	162160755	1714564859	10.573	3.65	4.14	276935878	2336891386	8.438	6.23	5.64	988389879	8641285706	8.743	22.23	20.73	292602109	3144945288	10.748	6.58	7.60	210481053	2091632154	9.937	4.73	5.05	240686117	2651018283	11.014	5.41	6.40	244170162	2567596730	10.516	5.49	6.20	988232759	10528358110	10.654	22.22	25.25		265147590	2271145089	8.566	5.96	5.49	292632610	2438342073	8.332	6.58	5.89	308174758	3208088075	10.410	6.93	7.75	368594334	3205695102	8.697	8.29	7.74	1234891044	11214755589	9.082	27.77	26.90
E_pe	3479971327	9.438	8.29	7.76	244294377	2274157427	9.309	5.50	5.07	276904652	3110806953	11.234	6.23	6.94	344848927	3292431185	9.547	7.76	7.34	1235120021	12213165216	9.888	27.78	27.06	308296740	2790121417	9.050	6.94	6.22	240688810	2114747545	8.786	5.41	4.72	162160755	1864274224	11.496	3.65	4.16	276935878	2536698720	9.160	6.23	5.66	988389879	9381816212	9.492	22.23	20.78	292602109	3402440939	11.628	6.58	7.59	210481053	2277708797	10.821	4.73	5.08	240686117	2881096836	11.970	5.41	6.43	244170162	2775922719	11.369	5.49	6.19	988232759	11416776960	11.553	22.22	25.29		265147590	2446563840	9.227	5.96	5.46	292632610	2643935992	9.035	6.58	5.90	308174758	3474695255	11.275	6.93	7.75	368594334	3467987293	9.409	8.29	7.74	1234891044	12130089336	9.823	27.77	26.87
F_pe	3399393868	9.219	8.29	8.01	244294377	2166165865	8.867	5.50	5.10	276904652	2926931979	10.570	6.23	6.90	344848927	3194377200	9.263	7.76	7.53	1235120021	11743279262	9.508	27.78	27.48	308296740	2675123962	8.677	6.94	6.30	240688810	1972184280	8.194	5.41	4.65	162160755	1686900587	10.403	3.65	3.97	276935878	2401896946	8.673	6.23	5.66	988389879	8807898333	8.911	22.23	20.61	292602109	3190189244	10.903	6.58	7.52	210481053	2094574488	9.951	4.73	4.94	240686117	2630904991	10.931	5.41	6.20	244170162	2601196249	10.653	5.49	6.13	988232759	10591112482	10.717	22.22	24.78		265147590	2385827552	8.998	5.96	5.62	292632610	2506585198	8.566	6.58	5.91	308174758	3266187691	10.598	6.93	7.70	368594334	3341857308	9.066	8.29	7.87	1234891044	11594661260	9.389	27.77	27.13
G_pe	1545104717	4.190	8.29	7.80	244294377	1007004549	4.122	5.50	5.08	276904652	1378773399	4.979	6.23	6.96	344848927	1453976693	4.216	7.76	7.34	1235120021	5411541803	4.381	27.78	27.11	308296740	1234434560	4.004	6.94	6.23	240688810	932520736	3.874	5.41	4.71	162160755	831142162	5.125	3.65	4.19	276935878	1112936371	4.019	6.23	5.62	988389879	4147232383	4.196	22.23	20.77	292602109	1506379694	5.148	6.58	7.60	210481053	1011494932	4.806	4.73	5.10	240686117	1285497824	5.341	5.41	6.49	244170162	1225285575	5.018	5.49	6.18	988232759	5066112859	5.126	22.22	25.38		265147590	1080546024	4.075	5.96	5.45	292632610	1162641273	3.973	6.58	5.87	308174758	1529877705	4.964	6.93	7.72	368594334	1520027885	4.124	8.29	7.67	1234891044	5338634971	4.323	27.77	26.74
H_pe	1588901511	4.309	8.29	7.88	244294377	1023929339	4.191	5.50	5.08	276904652	1410968749	5.096	6.23	7.00	344848927	1481352281	4.296	7.76	7.35	1235120021	5532331933	4.479	27.78	27.25	308296740	1254280847	4.068	6.94	6.22	240688810	939231910	3.902	5.41	4.66	162160755	844113044	5.205	3.65	4.19	276935878	1121713377	4.050	6.23	5.57	988389879	4196254701	4.246	22.23	20.67	292602109	1541987452	5.270	6.58	7.65	210481053	1026324394	4.876	4.73	5.09	240686117	1313550254	5.458	5.41	6.52	244170162	1242318380	5.088	5.49	6.16	988232759	5162260483	5.224	22.22	25.43		265147590	1101404560	4.154	5.96	5.47	292632610	1173099382	4.009	6.58	5.82	308174758	1551733927	5.035	6.93	7.70	368594334	1537218227	4.170	8.29	7.63	1234891044	5409117083	4.380	27.77	26.65
I_pe	1611650405	4.371	8.29	7.67	244294377	1065291494	4.361	5.50	5.07	276904652	1463267464	5.284	6.23	6.96	344848927	1529465474	4.435	7.76	7.27	1235120021	5697071817	4.613	27.78	26.90	308296740	1304300404	4.231	6.94	6.20	240688810	996341238	4.140	5.41	4.74	162160755	894644178	5.517	3.65	4.26	276935878	1183374063	4.273	6.23	5.63	988389879	4418056222	4.470	22.23	20.86	292602109	1599135477	5.465	6.58	7.61	210481053	1085951012	5.159	4.73	5.16	240686117	1381762196	5.741	5.41	6.57	244170162	1306636682	5.351	5.49	6.21	988232759	5413076431	5.478	22.22	25.56		265147590	1134279512	4.278	5.96	5.39	292632610	1234241972	4.218	6.58	5.87	308174758	1629481115	5.288	6.93	7.75	368594334	1605595651	4.356	8.29	7.64	1234891044	5651920952	4.577	27.77	26.69
