Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
A_pe	836070279.0	88617333.0	1410556373.0	64.9	1.8	91.7	7872292014.0	453049705.0	4956780874.0	127217450.0
B_pe	737638993.0	73822052.0	1275690437.0	63.6	1.7	91.6	6995404958.0	421734891.0	4369341489.0	117177096.0
C_pe	793838339.0	78901477.0	1372835803.0	63.1	1.6	90.9	7592530995.0	464293939.0	4744590060.0	138071377.0
D_pe	852672567.0	86181374.0	1502946394.0	62.7	1.7	91.7	8140523193.0	506559589.0	5056181089.0	135982180.0
E_pe	903579664.0	88570825.0	1606110788.0	61.4	1.6	90.6	8794822325.0	567928405.0	5462027958.0	166604685.0
F_pe	842384906.0	84394640.0	1474572457.0	62.2	1.6	91.6	8295187662.0	512457366.0	5245656526.0	135721767.0
G_pe	426547670.0	43423634.0	736774349.0	64.8	1.8	92.3	3927955727.0	232190320.0	2427373320.0	61646434.0
H_pe	409459470.0	41420853.0	729801432.0	62.0	1.7	90.9	3932847900.0	250737501.0	2428324222.0	73104422.0
I_pe	470748676.0	48029010.0	782243491.0	67.7	1.9	92.7	4102769055.0	224525661.0	2515603463.0	61618754.0
